Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Nikola Jokic,C,DEN,37.0,12500,69.4,4.0,0.194,62.59
Giannis Antetokounmpo,PF/C,MIL,0.0,11700,0.0,0.0,0.0,0.0
Victor Wembanyama,C,SAS,32.0,11000,50.9,0.0,0.16,54.28
Shai Gilgeous-alexander,PG,OKC,34.0,10800,52.1,0.4,0.192,55.28
Luka Doncic,PG,LAL,35.0,10700,55.4,2.8,0.154,49.64
LeBron James,SF/PF,LAL,36.0,10500,52.0,2.5,0.167,50.68
Anthony Davis,PF/C,DAL,0.0,10500,0.0,0.0,0.0,0.0
Cade Cunningham,PG,DET,35.0,10400,52.5,8.4,0.165,56.92
Joel Embiid,C,PHI,0.0,10000,0.0,0.0,0.0,0.0
Jayson Tatum,SF/PF,BOS,37.0,9900,52.5,8.4,0.154,53.91
Tyrese Maxey,PG,PHI,0.0,9800,0.0,0.0,0.0,0.0
LaMelo Ball,PG,CHA,0.0,9700,0.0,0.0,0.0,0.0
Trae Young,PG,ATL,35.0,9600,45.6,2.8,0.147,43.82
Domantas Sabonis,C,SAC,35.0,9500,51.9,7.6,0.15,49.61
Anthony Edwards,PG/SG,MIN,37.0,9500,44.8,25.1,0.156,51.98
Damian Lillard,PG,MIL,0.0,9500,0.0,0.0,0.0,0.0
Karl-anthony Towns,C,NYK,36.0,9400,56.5,16.0,0.158,55.38
Kyrie Irving,PG,DAL,38.0,9300,43.6,3.8,0.13,44.67
Devin Booker,PG/SG,PHX,0.0,9200,0.0,0.0,0.0,0.0
Scottie Barnes,PG/SF,TOR,35.0,9100,45.1,2.3,0.15,44.98
Kevin Durant,PF/C,PHX,35.0,9000,43.4,1.1,0.144,43.08
Stephen Curry,PG,GSW,33.0,8900,44.5,4.4,0.141,43.36
Miles Bridges,PF,CHA,35.0,8800,39.3,0.6,0.136,38.04
Franz Wagner,SF,ORL,33.0,8700,44.1,0.9,0.157,43.21
Mark Williams,C,CHA,0.0,8600,0.0,0.0,0.0,0.0
Austin Reaves,PG/SG,LAL,35.0,8500,36.0,0.2,0.123,32.22
Alperen Sengun,C,HOU,32.0,8500,45.7,5.7,0.169,48.25
Zion Williamson,PF,NOP,29.0,8500,44.9,6.3,0.18,42.86
Evan Mobley,PF/C,CLE,32.0,8400,40.9,0.6,0.141,42.01
Amen Thompson,PG/SF,HOU,38.0,8400,39.5,6.5,0.121,48.65
Jalen Brunson,PG,NYK,37.0,8400,46.8,16.5,0.155,49.93
Donovan Mitchell,PG/SG,CLE,33.0,8300,41.6,2.7,0.144,42.1
Paolo Banchero,PF,ORL,34.0,8300,47.5,1.5,0.149,45.73
Tyler Herro,PG,MIA,0.0,8300,0.0,0.0,0.126,42.09
Tyrese Haliburton,PG,IND,33.0,8200,39.7,8.7,0.12,43.85
Trey Murphy,SG/SF,NOP,36.0,8200,38.6,4.0,0.118,38.31
DeAaron Fox,PG/SG,SAS,33.0,8100,39.1,1.3,0.131,39.54
Bam Adebayo,PF/C,MIA,35.0,8100,42.0,0.0,0.138,38.73
Jaylen Brown,SG/SF,BOS,0.0,8000,0.0,0.0,0.0,0.0
Jamal Murray,PG/SG,DEN,36.0,8000,38.5,0.9,0.121,39.29
Brandon Ingram,SF/PF,TOR,0.0,8000,0.0,0.0,0.0,0.0
