PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,REB,AST,STL,BLK,TOV,PLUS MINUS,DK
Jalen Williams,OKC,OKC @ TOR,12/05/2024,W,28.0,20,7,2,0,0,0,25,32.75
Aaron Wiggins,OKC,OKC @ TOR,12/05/2024,W,20.0,12,3,2,2,0,1,29,23.25
Ochai Agbaji,TOR,TOR vs. OKC,12/05/2024,L,22.0,5,0,2,0,0,0,-19,8.5
Isaiah Joe,OKC,OKC @ TOR,12/05/2024,W,21.0,16,4,2,0,1,0,15,28
Kenrich Williams,OKC,OKC @ TOR,12/05/2024,W,14.0,13,7,1,1,0,0,22,26.75
Chris Boucher,TOR,TOR vs. OKC,12/05/2024,L,17.0,10,6,0,0,0,2,-24,16.5
Garrett Temple,TOR,TOR vs. OKC,12/05/2024,L,3.0,0,0,0,0,0,0,-4,0
Dwight Powell,DAL,DAL @ WAS,12/05/2024,W,10.0,3,3,3,1,0,0,4,13.25
Jordan Poole,WAS,WAS vs. DAL,12/05/2024,L,32.0,11,1,8,2,0,1,-21,28.75
Malcolm Brogdon,WAS,WAS vs. DAL,12/05/2024,L,25.0,16,5,2,0,1,2,-29,27.25
Quentin Grimes,DAL,DAL @ WAS,12/05/2024,W,25.0,14,5,2,2,1,5,-3,27.75
Spencer Dinwiddie,DAL,DAL @ WAS,12/05/2024,W,23.0,12,4,2,0,1,0,21,24
Marvin Bagley III,WAS,WAS vs. DAL,12/05/2024,L,24.0,16,8,0,2,0,1,-12,30.5
Johnny Davis,WAS,WAS vs. DAL,12/05/2024,L,5.0,2,1,1,1,0,0,1,6.75
Markieff Morris,DAL,DAL @ WAS,12/05/2024,W,8.0,3,1,0,0,1,2,1,5.75
Olivier-Maxence Prosper,DAL,DAL @ WAS,12/05/2024,W,10.0,3,3,0,0,1,0,4,8.75
Justin Champagnie,WAS,WAS vs. DAL,12/05/2024,L,29.0,9,5,3,0,0,1,-21,19.75
Bub Carrington,WAS,WAS vs. DAL,12/05/2024,L,28.0,15,2,1,0,0,1,-26,20
Jared Butler,WAS,WAS vs. DAL,12/05/2024,L,19.0,5,0,5,0,0,0,-18,13
Daniel Gafford,DAL,DAL @ WAS,12/05/2024,W,19.0,16,7,1,0,2,0,24,30.25
Luka Doncic,DAL,DAL @ WAS,12/05/2024,W,32.0,21,10,10,2,1,4,36,54
Maxi Kleber,DAL,DAL @ WAS,12/05/2024,W,17.0,0,0,1,0,2,0,27,5.5
Klay Thompson,DAL,DAL @ WAS,12/05/2024,W,21.0,11,2,2,0,0,1,36,17.5
Bilal Coulibaly,WAS,WAS vs. DAL,12/05/2024,L,29.0,4,4,4,3,0,4,-18,19
Dereck Lively II,DAL,DAL @ WAS,12/05/2024,W,19.0,6,11,1,1,1,1,8,24.75
Jaden Hardy,DAL,DAL @ WAS,12/05/2024,W,6.0,13,1,0,0,0,0,7,15.25
Adam Flagler,OKC,OKC @ TOR,12/05/2024,W,6.0,0,1,0,0,0,0,12,1.25
Ja'Kobe Walter,TOR,TOR vs. OKC,12/05/2024,L,23.0,6,6,2,0,0,3,-27,15
Jamal Shead,TOR,TOR vs. OKC,12/05/2024,L,12.0,0,1,2,0,0,1,-14,3.75
Branden Carlson,OKC,OKC @ TOR,12/05/2024,W,6.0,0,2,2,0,0,0,10,5.5
Jonathan Mogbo,TOR,TOR vs. OKC,12/05/2024,L,23.0,17,1,1,1,1,2,-28,23.25
Isaiah Hartenstein,OKC,OKC @ TOR,12/05/2024,W,28.0,2,16,6,1,1,0,15,35
Bruno Fernando,TOR,TOR vs. OKC,12/05/2024,L,19.0,4,7,1,1,2,3,-2,18.75
RJ Barrett,TOR,TOR vs. OKC,12/05/2024,L,31.0,17,11,2,0,1,1,-15,35.75
Luguentz Dort,OKC,OKC @ TOR,12/05/2024,W,28.0,6,6,1,2,3,0,7,25
Davion Mitchell,TOR,TOR vs. OKC,12/05/2024,L,24.0,0,3,4,1,1,1,-14,13.25
Scottie Barnes,TOR,TOR vs. OKC,12/05/2024,L,31.0,12,12,8,0,2,4,-21,42
Gradey Dick,TOR,TOR vs. OKC,12/05/2024,L,23.0,15,1,0,2,0,1,-8,21.75
OG Anunoby,NYK,NYK vs. CHA,12/05/2024,W,40.0,25,6,2,4,2,1,18,48.5
Charles Bassey,SAS,SAS vs. CHI,12/05/2024,L,13.0,5,3,3,1,0,1,-5,14.75
Shai Gilgeous-Alexander,OKC,OKC @ TOR,12/05/2024,W,30.0,30,4,5,2,2,2,28,50
Ajay Mitchell,OKC,OKC @ TOR,12/05/2024,W,19.0,13,0,3,2,0,0,8,22
Alex Caruso,OKC,OKC @ TOR,12/05/2024,W,17.0,8,4,2,2,1,1,6,22.5
Mason Plumlee,PHX,PHX @ NOP,12/05/2024,L,26.0,4,10,3,1,2,0,8,27
Jamison Battle,TOR,TOR vs. OKC,12/05/2024,L,13.0,6,3,2,0,0,2,-9,12.75
Cason Wallace,OKC,OKC @ TOR,12/05/2024,W,23.0,9,1,2,3,3,2,8,25.25
Steven Adams,HOU,HOU @ GSW,12/05/2024,L,18.0,6,6,3,0,1,0,10,20
Jalen Brunson,NYK,NYK vs. CHA,12/05/2024,W,27.0,24,1,5,1,0,0,22,37.25
Cody Martin,CHA,CHA @ NYK,12/05/2024,L,26.0,4,3,1,0,1,1,-29,10.75
DaQuan Jeffries,CHA,CHA @ NYK,12/05/2024,L,16.0,8,1,1,0,0,0,-2,11.25
Josh Green,CHA,CHA @ NYK,12/05/2024,L,26.0,5,4,2,1,0,1,-10,15
Matt Ryan,NYK,NYK vs. CHA,12/05/2024,W,2.0,0,0,0,0,0,0,-2,0
Ariel Hukporti,NYK,NYK vs. CHA,12/05/2024,W,1.0,0,1,0,0,0,0,-2,1.25
Jericho Sims,NYK,NYK vs. CHA,12/05/2024,W,3.0,0,1,0,0,0,1,-4,0.75
Kyle Anderson,GSW,GSW vs. HOU,12/05/2024,W,14.0,8,2,2,0,0,1,-1,13
Anthony Gill,WAS,WAS vs. DAL,12/05/2024,L,8.0,3,0,0,1,0,0,-2,5.5
P.J. Washington,DAL,DAL @ WAS,12/05/2024,W,24.0,10,7,2,0,2,0,5,26.75
Julian Strawther,DEN,DEN @ CLE,12/05/2024,L,12.0,2,0,0,0,0,0,-14,2
Zeke Nnaji,DEN,DEN @ CLE,12/05/2024,L,3.0,0,0,0,0,0,0,-4,0
Darius Garland,CLE,CLE vs. DEN,12/05/2024,W,33.0,24,0,4,0,0,1,-1,31
Jarrett Allen,CLE,CLE vs. DEN,12/05/2024,W,35.0,8,15,6,2,0,2,5,38.75
Georges Niang,CLE,CLE vs. DEN,12/05/2024,W,16.0,5,4,0,0,1,2,17,11.5
Nikola Jokic,DEN,DEN @ CLE,12/05/2024,L,39.0,27,20,11,3,0,3,-8,73
Russell Westbrook,DEN,DEN @ CLE,12/05/2024,L,16.0,10,3,3,1,1,2,-15,21.75
Isaac Jones,SAC,SAC @ MEM,12/05/2024,L,16.0,9,3,0,0,1,1,-2,14.75
Keon Ellis,SAC,SAC @ MEM,12/05/2024,L,2.0,0,0,0,0,0,0,4,0
Keegan Murray,SAC,SAC @ MEM,12/05/2024,L,40.0,11,11,2,2,0,1,-4,31.75
Jay Huff,MEM,MEM vs. SAC,12/05/2024,W,20.0,11,4,1,0,2,1,30,22
Scotty Pippen Jr.,MEM,MEM vs. SAC,12/05/2024,W,15.0,4,1,3,0,0,1,10,9.25
Santi Aldama,MEM,MEM vs. SAC,12/05/2024,W,29.0,15,10,0,3,0,0,23,35
Desmond Bane,MEM,MEM vs. SAC,12/05/2024,W,32.0,18,8,7,1,0,3,15,40
Brandon Clarke,MEM,MEM vs. SAC,12/05/2024,W,18.0,4,3,0,0,2,1,-15,11.25
Jordan McLaughlin,SAC,SAC @ MEM,12/05/2024,L,3.0,0,0,1,0,0,0,-5,1.5
Malik Monk,SAC,SAC @ MEM,12/05/2024,L,32.0,23,1,5,0,0,0,-2,33.75
De'Aaron Fox,SAC,SAC @ MEM,12/05/2024,L,38.0,18,6,3,6,0,4,-4,40
Domantas Sabonis,SAC,SAC @ MEM,12/05/2024,L,36.0,17,13,6,0,0,3,-5,41.25
Marcus Smart,MEM,MEM vs. SAC,12/05/2024,W,26.0,18,4,5,2,0,4,13,34.5
DeMar DeRozan,SAC,SAC @ MEM,12/05/2024,L,35.0,26,3,1,1,0,2,-12,32.75
Devin Vassell,SAS,SAS vs. CHI,12/05/2024,L,25.0,17,3,2,4,0,1,7,31.75
Nikola Vucevic,CHI,CHI @ SAS,12/05/2024,W,35.0,39,8,5,1,0,3,15,58
Matas Buzelis,CHI,CHI @ SAS,12/05/2024,W,19.0,11,7,1,0,0,1,9,21.75
Dalen Terry,CHI,CHI @ SAS,12/05/2024,W,28.0,12,2,0,1,0,2,-2,16
Josh Giddey,CHI,CHI @ SAS,12/05/2024,W,24.0,8,4,4,0,0,3,4,18
Jalen Smith,CHI,CHI @ SAS,12/05/2024,W,12.0,9,3,1,0,2,1,2,18.25
Talen Horton-Tucker,CHI,CHI @ SAS,12/05/2024,W,21.0,13,3,4,1,1,2,10,26.75
Keldon Johnson,SAS,SAS vs. CHI,12/05/2024,L,28.0,28,5,0,1,0,3,-5,35.25
Julian Phillips,CHI,CHI @ SAS,12/05/2024,W,28.0,9,3,1,0,2,0,-1,19.75
Sidy Cissoko,SAS,SAS vs. CHI,12/05/2024,L,2.0,0,0,0,0,0,0,-2,0
Blake Wesley,SAS,SAS vs. CHI,12/05/2024,L,8.0,1,0,0,0,0,1,-11,0.5
Malaki Branham,SAS,SAS vs. CHI,12/05/2024,L,2.0,0,0,0,0,0,1,-2,-0.5
Julian Champagnie,SAS,SAS vs. CHI,12/05/2024,L,25.0,12,3,1,0,1,0,-20,20.25
Sandro Mamukelashvili,SAS,SAS vs. CHI,12/05/2024,L,6.0,4,0,0,0,0,0,-5,4.5
Chris Duarte,CHI,CHI @ SAS,12/05/2024,W,4.0,0,0,0,0,0,0,1,0
Ayo Dosunmu,CHI,CHI @ SAS,12/05/2024,W,35.0,27,10,11,3,0,1,23,63
Jevon Carter,CHI,CHI @ SAS,12/05/2024,W,1.0,0,1,0,0,0,0,-2,1.25
Zach LaVine,CHI,CHI @ SAS,12/05/2024,W,33.0,11,9,9,0,0,4,16,34.75
Herbert Jones,NOP,NOP vs. PHX,12/05/2024,W,32.0,12,7,5,4,1,1,13,38.75
Jeremiah Robinson-Earl,NOP,NOP vs. PHX,12/05/2024,W,7.0,2,5,2,0,0,0,-5,11.25
Josh Okogie,PHX,PHX @ NOP,12/05/2024,L,11.0,6,2,2,2,0,0,0,15.5
Dejounte Murray,NOP,NOP vs. PHX,12/05/2024,W,35.0,17,5,3,2,0,2,1,31.75
Brandon Ingram,NOP,NOP vs. PHX,12/05/2024,W,37.0,29,7,3,2,1,5,-1,47.25
Royce O'Neale,PHX,PHX @ NOP,12/05/2024,L,28.0,19,7,2,2,0,2,-3,36.25
Devin Booker,PHX,PHX @ NOP,12/05/2024,L,37.0,28,4,2,1,0,3,-10,38
Tyus Jones,PHX,PHX @ NOP,12/05/2024,L,28.0,13,5,6,2,0,1,13,33.25
KJ Simpson,CHA,CHA @ NYK,12/05/2024,L,17.0,0,2,3,0,0,1,-19,6.5
Tyler Kolek,NYK,NYK vs. CHA,12/05/2024,W,2.0,0,0,0,0,0,0,-2,0
Tidjane Salaün,CHA,CHA @ NYK,12/05/2024,L,2.0,4,1,0,1,0,0,4,7.25
Brandon Miller,CHA,CHA @ NYK,12/05/2024,L,30.0,26,6,3,0,0,1,-25,40
Moussa Diabaté,CHA,CHA @ NYK,12/05/2024,L,16.0,4,3,0,0,1,1,-10,9.25
Jacob Toppin,NYK,NYK vs. CHA,12/05/2024,W,2.0,0,0,0,0,0,0,-2,0
Mark Williams,CHA,CHA @ NYK,12/05/2024,L,11.0,6,5,1,1,0,0,-11,15.75
Kyrie Irving,DAL,DAL @ WAS,12/05/2024,W,25.0,25,4,3,2,0,2,10,39
Andrew Wiggins,GSW,GSW vs. HOU,12/05/2024,W,34.0,23,9,2,2,1,3,14,43.25
Fred VanVleet,HOU,HOU @ GSW,12/05/2024,L,37.0,13,4,5,1,2,1,-7,32.5
Jonathan Kuminga,GSW,GSW vs. HOU,12/05/2024,W,33.0,33,7,2,0,1,3,7,46.75
Brandin Podziemski,GSW,GSW vs. HOU,12/05/2024,W,37.0,8,11,3,0,0,2,13,25.75
Moses Moody,GSW,GSW vs. HOU,12/05/2024,W,23.0,6,1,1,0,0,0,-9,9.25
Jalen Green,HOU,HOU @ GSW,12/05/2024,L,36.0,14,4,3,4,0,2,-6,30.5
Buddy Hield,GSW,GSW vs. HOU,12/05/2024,W,27.0,5,5,2,0,0,1,18,14.25
Kevon Looney,GSW,GSW vs. HOU,12/05/2024,W,27.0,4,11,3,1,0,0,21,24.25
Oso Ighodaro,PHX,PHX @ NOP,12/05/2024,L,20.0,4,2,1,0,0,1,-12,7.5
Yves Missi,NOP,NOP vs. PHX,12/05/2024,W,25.0,9,12,0,0,0,0,1,24
Trey Murphy III,NOP,NOP vs. PHX,12/05/2024,W,34.0,19,2,2,0,0,3,-4,24.5
Brandon Boston,NOP,NOP vs. PHX,12/05/2024,W,17.0,11,2,2,1,1,1,15,20.5
Javonte Green,NOP,NOP vs. PHX,12/05/2024,W,17.0,2,1,0,2,1,1,-14,8.75
Bol Bol,PHX,PHX @ NOP,12/05/2024,L,11.0,6,4,0,0,0,2,8,10
Grayson Allen,PHX,PHX @ NOP,12/05/2024,L,30.0,13,6,10,0,1,1,-9,38.5
Monté Morris,PHX,PHX @ NOP,12/05/2024,L,15.0,7,2,2,0,0,0,-1,13
CJ McCollum,NOP,NOP vs. PHX,12/05/2024,W,37.0,25,3,6,2,0,0,4,43.25
Bradley Beal,PHX,PHX @ NOP,12/05/2024,L,34.0,24,4,4,2,0,7,-4,36.5
Jaylen Wells,MEM,MEM vs. SAC,12/05/2024,W,18.0,10,6,0,0,0,4,-27,16
Jake LaRavia,MEM,MEM vs. SAC,12/05/2024,W,29.0,12,8,2,1,0,2,25,26.5
Ja Morant,MEM,MEM vs. SAC,12/05/2024,W,28.0,8,3,7,0,1,2,-32,23.25
Jaren Jackson Jr.,MEM,MEM vs. SAC,12/05/2024,W,25.0,15,2,2,2,0,4,-17,22.5
Kevin Huerter,SAC,SAC @ MEM,12/05/2024,L,25.0,6,6,0,1,0,1,4,15
Jae Crowder,SAC,SAC @ MEM,12/05/2024,L,13.0,0,3,1,1,0,1,1,6.75
Nick Smith Jr.,CHA,CHA @ NYK,12/05/2024,L,19.0,6,3,1,0,0,0,-5,12.25
Miles McBride,NYK,NYK vs. CHA,12/05/2024,W,28.0,10,1,6,0,0,0,13,21.25
Nick Richards,CHA,CHA @ NYK,12/05/2024,L,24.0,6,8,3,0,1,3,-6,21
Precious Achiuwa,NYK,NYK vs. CHA,12/05/2024,W,12.0,2,4,1,0,0,2,11,7.5
Mikal Bridges,NYK,NYK vs. CHA,12/05/2024,W,47.0,19,3,7,1,0,2,26,35.25
Josh Hart,NYK,NYK vs. CHA,12/05/2024,W,38.0,18,10,6,1,0,1,17,43
Karl-Anthony Towns,NYK,NYK vs. CHA,12/05/2024,W,39.0,27,16,2,0,2,2,25,54
Vasilije Micic,CHA,CHA @ NYK,12/05/2024,L,35.0,14,1,12,0,0,2,-8,33.25
Dillon Brooks,HOU,HOU @ GSW,12/05/2024,L,35.0,15,3,1,1,0,2,-7,22.25
Aaron Holiday,HOU,HOU @ GSW,12/05/2024,L,14.0,3,2,1,0,0,0,-4,7.5
Pat Spencer,GSW,GSW vs. HOU,12/05/2024,W,6.0,0,2,1,1,0,0,-2,6
Alperen Sengun,HOU,HOU @ GSW,12/05/2024,L,29.0,16,8,5,2,0,2,-10,36.5
Jabari Smith Jr.,HOU,HOU @ GSW,12/05/2024,L,37.0,5,7,1,1,3,1,-15,23.25
Trayce Jackson-Davis,GSW,GSW vs. HOU,12/05/2024,W,21.0,6,0,2,0,1,0,-17,11
Amen Thompson,HOU,HOU @ GSW,12/05/2024,L,22.0,14,8,0,0,1,0,3,27
Reed Sheppard,HOU,HOU @ GSW,12/05/2024,L,13.0,7,3,1,0,2,0,6,16.75
Gary Payton II,GSW,GSW vs. HOU,12/05/2024,W,18.0,6,6,1,1,0,0,-14,17
Aaron Gordon,DEN,DEN @ CLE,12/05/2024,L,34.0,18,7,2,0,0,2,1,28.75
Caris LeVert,CLE,CLE vs. DEN,12/05/2024,W,27.0,21,3,6,1,0,1,17,37.75
Jamal Murray,DEN,DEN @ CLE,12/05/2024,L,42.0,19,4,6,1,0,1,-10,35
Donovan Mitchell,CLE,CLE vs. DEN,12/05/2024,W,33.0,28,3,6,2,2,5,21,49.25
Michael Porter Jr.,DEN,DEN @ CLE,12/05/2024,L,38.0,24,7,2,3,2,4,1,45.25
Ty Jerome,CLE,CLE vs. DEN,12/05/2024,W,12.0,4,2,1,0,0,1,-11,7.5
Dean Wade,CLE,CLE vs. DEN,12/05/2024,W,19.0,5,6,1,0,0,1,-8,14
Isaac Okoro,CLE,CLE vs. DEN,12/05/2024,W,12.0,3,0,2,0,0,0,-5,6.5
Sam Merrill,CLE,CLE vs. DEN,12/05/2024,W,21.0,8,5,2,1,0,1,12,19.75
Evan Mobley,CLE,CLE vs. DEN,12/05/2024,W,32.0,20,9,4,3,0,1,13,44.25
Christian Braun,DEN,DEN @ CLE,12/05/2024,L,39.0,10,4,0,2,2,2,2,22
Peyton Watson,DEN,DEN @ CLE,12/05/2024,L,18.0,4,4,1,2,0,1,-13,14.5
Jonas Valanciunas,WAS,WAS vs. DAL,12/05/2024,L,13.0,9,5,1,0,0,1,-25,16.25
Alex Sarr,WAS,WAS vs. DAL,12/05/2024,L,27.0,11,8,0,1,2,1,-9,27
Seth Curry,CHA,CHA @ NYK,12/05/2024,L,18.0,18,3,0,0,1,0,1,25.75
Stephon Castle,SAS,SAS vs. CHI,12/05/2024,L,23.0,12,2,6,2,1,1,-11,29
Jeremy Sochan,SAS,SAS vs. CHI,12/05/2024,L,32.0,16,14,2,1,0,2,-2,37.5
Zach Collins,SAS,SAS vs. CHI,12/05/2024,L,24.0,9,4,3,1,2,1,-6,24.5
Harrison Barnes,SAS,SAS vs. CHI,12/05/2024,L,22.0,8,3,0,0,0,0,-8,11.75
Chris Paul,SAS,SAS vs. CHI,12/05/2024,L,29.0,12,4,9,1,0,0,-5,33.5
Malaki Branham,SAS,SAS vs. SAC,12/06/2024,L,16.0,5,0,1,1,0,2,-23,8
Daishen Nix,MIN,MIN @ GSW,12/06/2024,W,2.0,0,0,0,0,0,1,-4,-0.5
Anthony Edwards,MIN,MIN @ GSW,12/06/2024,W,35.0,30,4,9,1,2,4,23,54.5
Nickeil Alexander-Walker,MIN,MIN @ GSW,12/06/2024,W,18.0,5,2,2,0,0,1,16,10.5
PJ Dozier,MIN,MIN @ GSW,12/06/2024,W,2.0,0,0,0,0,0,0,-4,0
Buddy Hield,GSW,GSW vs. MIN,12/06/2024,L,13.0,4,3,0,0,0,3,-3,6.25
Andrew Wiggins,GSW,GSW vs. MIN,12/06/2024,L,19.0,11,2,0,1,0,2,-1,15
Julius Randle,MIN,MIN @ GSW,12/06/2024,W,24.0,16,9,4,1,0,3,3,34.75
Toumani Camara,POR,POR vs. UTA,12/06/2024,L,8.0,0,0,1,1,0,0,-11,3.5
Keyonte George,UTA,UTA @ POR,12/06/2024,W,24.0,17,5,4,0,1,1,24,31.75
Rayan Rupert,POR,POR vs. UTA,12/06/2024,L,16.0,2,2,2,0,0,1,-11,7
Kris Murray,POR,POR vs. UTA,12/06/2024,L,20.0,14,2,1,0,0,0,-11,18.5
Jabari Walker,POR,POR vs. UTA,12/06/2024,L,19.0,1,3,2,1,1,2,-9,10.75
Walker Kessler,UTA,UTA @ POR,12/06/2024,W,31.0,13,17,2,0,5,2,35,46.25
Dalano Banton,POR,POR vs. UTA,12/06/2024,L,27.0,19,3,4,1,0,3,-19,30.75
Deandre Ayton,POR,POR vs. UTA,12/06/2024,L,17.0,6,4,0,1,2,2,-29,16
Collin Sexton,UTA,UTA @ POR,12/06/2024,W,23.0,16,2,7,0,0,0,31,29
Svi Mykhailiuk,UTA,UTA @ POR,12/06/2024,W,21.0,13,8,4,1,0,3,27,31
John Collins,UTA,UTA @ POR,12/06/2024,W,28.0,20,3,2,0,1,0,32,29.25
Max Christie,LAL,LAL @ ATL,12/06/2024,L,31.0,9,2,2,3,1,1,-7,23
Dyson Daniels,ATL,ATL vs. LAL,12/06/2024,W,36.0,11,4,5,4,0,1,-9,31.5
Jalen Johnson,ATL,ATL vs. LAL,12/06/2024,W,35.0,12,10,7,1,0,6,6,34.5
De'Andre Hunter,ATL,ATL vs. LAL,12/06/2024,W,34.0,26,3,2,2,0,2,-5,38.25
Gabe Vincent,LAL,LAL @ ATL,12/06/2024,L,34.0,12,1,5,2,1,0,4,27.75
Rui Hachimura,LAL,LAL @ ATL,12/06/2024,L,41.0,12,9,1,2,2,0,5,33.75
Trae Young,ATL,ATL vs. LAL,12/06/2024,W,42.0,31,4,20,2,0,3,-6,71
Anthony Davis,LAL,LAL @ ATL,12/06/2024,L,42.0,38,10,8,1,2,6,6,65.5
LeBron James,LAL,LAL @ ATL,12/06/2024,L,43.0,39,10,11,2,3,4,3,79
Andrew Nembhard,IND,IND @ CHI,12/06/2024,W,22.0,8,6,4,2,0,1,4,25
De'Aaron Fox,SAC,SAC @ SAS,12/06/2024,W,33.0,22,4,8,0,1,2,8,41
Jeremy Sochan,SAS,SAS vs. SAC,12/06/2024,L,21.0,14,5,2,0,0,2,-13,22.75
Isaac Jones,SAC,SAC @ SAS,12/06/2024,W,8.0,0,0,0,0,0,1,6,-0.5
Stephon Castle,SAS,SAS vs. SAC,12/06/2024,L,29.0,15,3,5,3,0,2,-15,32.25
Keon Ellis,SAC,SAC @ SAS,12/06/2024,W,21.0,3,1,3,4,1,0,32,19.25
Keegan Murray,SAC,SAC @ SAS,12/06/2024,W,33.0,17,6,1,0,2,1,7,31
Julian Champagnie,SAS,SAS vs. SAC,12/06/2024,L,35.0,30,3,1,1,0,1,-8,39.75
Sandro Mamukelashvili,SAS,SAS vs. SAC,12/06/2024,L,17.0,8,6,1,0,0,0,-10,17.5
Keldon Johnson,SAS,SAS vs. SAC,12/06/2024,L,22.0,14,5,0,2,1,0,-11,26.75
Kevin Huerter,SAC,SAC @ SAS,12/06/2024,W,24.0,16,3,3,0,0,1,23,25.75
Harrison Barnes,SAS,SAS vs. SAC,12/06/2024,L,27.0,7,1,3,0,1,1,-21,14.75
Colby Jones,SAC,SAC @ SAS,12/06/2024,W,4.0,5,0,0,0,1,0,6,7.5
Sidy Cissoko,SAS,SAS vs. SAC,12/06/2024,L,4.0,0,2,0,0,0,0,-6,2.5
Orlando Robinson,SAC,SAC @ SAS,12/06/2024,W,9.0,5,1,4,1,1,0,3,16.25
Blake Wesley,SAS,SAS vs. SAC,12/06/2024,L,4.0,0,0,1,0,0,1,-6,1
Onyeka Okongwu,ATL,ATL vs. LAL,12/06/2024,W,29.0,15,6,0,0,1,1,2,24
Charles Bassey,SAS,SAS vs. SAC,12/06/2024,L,26.0,7,7,0,0,3,2,-24,20.75
Kentavious Caldwell-Pope,ORL,ORL @ PHI,12/06/2024,L,34.0,2,3,2,3,1,2,4,15.75
Kelly Oubre Jr.,PHI,PHI vs. ORL,12/06/2024,W,35.0,13,10,0,2,0,2,10,29
Guerschon Yabusele,PHI,PHI vs. ORL,12/06/2024,W,33.0,16,3,4,1,0,2,-5,27.25
Wendell Carter Jr.,ORL,ORL @ PHI,12/06/2024,L,26.0,8,9,3,0,0,0,14,24.25
Caleb Martin,PHI,PHI vs. ORL,12/06/2024,W,8.0,2,2,1,0,0,0,2,6
Goga Bitadze,ORL,ORL @ PHI,12/06/2024,L,26.0,9,4,2,0,2,3,-1,19.5
Tyrese Maxey,PHI,PHI vs. ORL,12/06/2024,W,35.0,16,2,2,3,0,1,3,27.5
Franz Wagner,ORL,ORL @ PHI,12/06/2024,L,38.0,30,5,5,1,1,4,-5,47.25
Anthony Black,ORL,ORL @ PHI,12/06/2024,L,18.0,0,2,0,1,2,2,-20,7.5
Tristan da Silva,ORL,ORL @ PHI,12/06/2024,L,13.0,0,3,0,0,0,1,-20,3.25
Al Horford,BOS,BOS vs. MIL,12/06/2024,W,36.0,8,9,3,0,2,2,4,27.75
Jrue Holiday,BOS,BOS vs. MIL,12/06/2024,W,34.0,20,5,6,1,1,0,4,41.25
Giannis Antetokounmpo,MIL,MIL @ BOS,12/06/2024,L,36.0,30,11,1,0,0,1,-4,44.75
Taurean Prince,MIL,MIL @ BOS,12/06/2024,L,9.0,0,2,1,0,1,1,-6,5.5
Jaylen Brown,BOS,BOS vs. MIL,12/06/2024,W,34.0,25,3,3,0,1,1,5,36.25
Gary Trent Jr.,MIL,MIL @ BOS,12/06/2024,L,37.0,11,4,1,0,0,0,-6,19
Sam Hauser,BOS,BOS vs. MIL,12/06/2024,W,24.0,16,3,1,1,1,0,-7,27.25
Andre Jackson Jr.,MIL,MIL @ BOS,12/06/2024,L,12.0,2,1,1,1,0,2,-8,5.75
Nikola Vucevic,CHI,CHI vs. IND,12/06/2024,L,30.0,13,9,2,0,0,0,-9,28.75
Zach LaVine,CHI,CHI vs. IND,12/06/2024,L,34.0,32,3,3,1,0,4,-8,42.75
Myles Turner,IND,IND @ CHI,12/06/2024,W,32.0,15,7,4,2,2,1,9,38.75
Talen Horton-Tucker,CHI,CHI vs. IND,12/06/2024,L,6.0,2,1,0,1,0,1,-8,4.75
Tyrese Haliburton,IND,IND @ CHI,12/06/2024,W,38.0,23,4,8,2,0,2,5,45.5
Josh Giddey,CHI,CHI vs. IND,12/06/2024,L,26.0,10,5,6,1,0,3,-10,25.75
Matas Buzelis,CHI,CHI vs. IND,12/06/2024,L,18.0,8,2,3,0,2,1,-1,19.5
Bennedict Mathurin,IND,IND @ CHI,12/06/2024,W,34.0,19,6,1,0,1,3,9,29
Lonzo Ball,CHI,CHI vs. IND,12/06/2024,L,17.0,9,2,4,1,1,0,1,23
Pascal Siakam,IND,IND @ CHI,12/06/2024,W,37.0,21,7,2,0,0,1,-1,33.75
Coby White,CHI,CHI vs. IND,12/06/2024,L,32.0,19,4,9,1,0,2,7,40.5
Obi Toppin,IND,IND @ CHI,12/06/2024,W,21.0,17,7,5,0,1,1,0,36.25
Jalen Smith,CHI,CHI vs. IND,12/06/2024,L,18.0,10,7,0,0,1,0,0,20.75
Ayo Dosunmu,CHI,CHI vs. IND,12/06/2024,L,32.0,15,2,5,2,2,1,1,34
Dalen Terry,CHI,CHI vs. IND,12/06/2024,L,15.0,3,2,1,0,0,0,-8,7.5
Jarace Walker,IND,IND @ CHI,12/06/2024,W,24.0,7,5,4,1,0,0,9,21.75
Julian Phillips,CHI,CHI vs. IND,12/06/2024,L,12.0,2,1,0,1,0,0,-10,5.25
Johnny Furphy,IND,IND @ CHI,12/06/2024,W,10.0,5,2,0,0,0,0,4,8
T.J. McConnell,IND,IND @ CHI,12/06/2024,W,23.0,17,2,5,2,0,3,6,30
Clint Capela,ATL,ATL vs. LAL,12/06/2024,W,24.0,4,4,2,0,2,0,0,16
Bogdan Bogdanovic,ATL,ATL vs. LAL,12/06/2024,W,29.0,20,6,1,0,0,3,18,29.5
D'Angelo Russell,LAL,LAL @ ATL,12/06/2024,L,21.0,8,3,3,0,0,2,-4,16.25
Cam Reddish,LAL,LAL @ ATL,12/06/2024,L,21.0,0,0,0,1,1,0,-8,4
Vít Krejcí,ATL,ATL vs. LAL,12/06/2024,W,14.0,4,7,3,0,1,0,6,19.25
Zaccharie Risacher,ATL,ATL vs. LAL,12/06/2024,W,22.0,11,4,0,1,1,1,-2,20
