name,position,team,minutes,salary,fpts,own%,stddev,fieldFpts
Nikola Jokic,C,DEN,35,12000,63.43095475,15.11,12.5743766,66.94
Victor Wembanyama,C,SAS,30,11100,48.39874109,5.35,12.19031962,53.4
Shai Gilgeous-Alexander,PG,OKC,34,10700,51.5425447,4.83,13.32563351,51.25
Anthony Davis,C,LAL,36,10500,54.76797371,7.1,12.98482167,52.47
LeBron James,SF/PF,LAL,35,10200,49.76384279,8.64,12.51119193,49.6
Joel Embiid,C,PHI,35,10000,55.54300687,1.34,16.52621905,40.23
Trae Young,PG,ATL,36,9900,47.63060394,14.67,10.68815186,52.63
Devin Booker,PG/SG,PHX,35,9700,43.22828035,5.52,12.39599372,45.23
Paolo Banchero,C,ORL,0,9500,0,0,0,0
James Harden,PG,LAC,34,9500,46.12884084,2.31,11.94068012,44.89
Cade Cunningham,PG,DET,33,9300,43.91442243,8.57,10.69097588,49.62
Karl-Anthony Towns,C,NYK,33,9100,45.48857514,7.67,10.91339489,47.1
Tyrese Maxey,PG,PHI,0,9000,0,0,0,0
Zion Williamson,C,NOP,0,9000,0,0,0,0
Scottie Barnes,PG,TOR,0,8900,0,0,0,0
Jalen Johnson,PF,ATL,34,8900,40.06875931,11.89,10.03899477,45.94
Brandon Ingram,PG/SG,NOP,33,8900,40.86923141,9.37,10.69879992,44.35
Franz Wagner,SF/PF,ORL,32,8800,40.35619788,4.34,10.57063279,41.69
Jalen Brunson,PG,NYK,35,8600,47.33035071,10.41,13.06253648,44.35
Dejounte Murray,PG,NOP,0,8400,0,0,0,0
Kevin Durant,PF/C,PHX,0,8400,0,0,0,0
Paul George,SF/PF,PHI,33,8300,40.87861848,4.31,11.16591894,38.88
Jalen Williams,C,OKC,32,8300,38.61580515,8.75,11.07536446,43.06
Bam Adebayo,C,MIA,34,8200,42.38216287,8.42,10.23576409,44.47
Donovan Mitchell,PG/SG,CLE,35,8200,45.10397209,15.51,11.82327107,43.68
Alperen Sengun,C,HOU,32,8200,46.56796112,2.64,12.74614885,39.75
Chet Holmgren,C,OKC,0,8200,0,0,0,0
RJ Barrett,SF/PF,TOR,32,8100,35.06688678,11.48,9.046822007,41.94
Tyrese Haliburton,PG,IND,33,8000,41.08716624,9.07,10.90007337,41.69
Kawhi Leonard,PF/C,LAC,0,8000,0,0,0,0
Nikola Vucevic,C,CHI,34,7900,40.8967693,1.89,11.21205014,37.57
CJ McCollum,PG,NOP,0,7900,0,0,0,0
Tyler Herro,PG/SG,MIA,33,7800,38.35263041,7.96,10.3969709,39.95
Evan Mobley,PF/C,CLE,31,7800,39.30185313,6.91,11.28673908,37.99
Ivica Zubac,C,LAC,27,7800,31.46699346,1.8,8.570603638,35.43
Bradley Beal,SG/SF,PHX,0,7700,0,0,0,0
Jimmy Butler,SF,MIA,0,7500,0,0,0,0
Pascal Siakam,PF/C,IND,33,7400,38.39499819,10.64,10.16066512,37.41
Jakob Poeltl,C,TOR,27,7400,30.45055016,5.23,9.084561391,37.91
Jordan Poole,PG/SG,WAS,30,7400,31.47940909,11.59,10.04471173,38.61
Immanuel Quickley,PG,TOR,0,7300,0,0,0,0
Jalen Green,SG,HOU,32,7200,33.94301494,1.63,10.876295,31.77
Jalen Suggs,PG,ORL,28,7100,29.23611619,5.53,9.434992401,35.48
Darius Garland,PG,CLE,33,7100,36.87131274,11.28,9.95612019,38.33
Norman Powell,SG/SF,LAC,27,7100,25.38435786,2.59,8.351122747,29.91
Jamal Murray,PG/SG,DEN,32,7100,35.60146638,10.31,9.706064154,37.78
Kyle Kuzma,PF,WAS,32,7000,34.87218983,3.21,10.46583076,33.42
Myles Turner,C,IND,28,6900,32.44561906,8.65,8.669355601,36.49
Josh Hart,SF/PF,NYK,34,6900,34.58574566,4.47,10.22708036,33.04
Austin Reaves,PG/SG,LAL,32,6900,32.26871337,5.05,9.305707798,33.74
Zach LaVine,SG/SF,CHI,34,6800,33.39054463,11.27,9.564219903,35.68
Jarrett Allen,C,CLE,31,6800,37.14304887,6.72,9.836260426,35.76
Coby White,PG/SG,CHI,36,6700,35.72909179,6.54,10.7847348,33.56
Cam Thomas,SG/SF,BKN,32,6700,34.35973822,7.54,10.5241271,32.42
Andre Drummond,C,PHI,18,6600,20.96838024,0.23,12.42293745,19.63
Jeremy Sochan,C,SAS,0,6600,0,0,0,0
Fred VanVleet,PG,HOU,36,6600,38.22514262,8.87,11.56055878,34.52
Aaron Gordon,SF,DEN,0,6600,0,0,0,0
Kelly Oubre Jr.,SG,PHI,31,6500,28.59467847,0.53,10.46668389,22.73
Jaden Ivey,PG/SG,DET,29,6500,29.94877552,8.21,9.232797442,33.67
Dyson Daniels,PG/SG,ATL,23,6500,20.98366541,2.27,6.813153742,29.69
Josh Giddey,PG,CHI,25,6500,29.06034462,2.88,9.665664297,32.11
Dennis Schroder,PG/SG,BKN,31,6500,30.35431141,2.11,9.664330576,29.21
Michael Porter Jr.,SF/PF,DEN,32,6500,30.46137927,10,8.990885323,32.83
Brandon Boston Jr.,PG/SG,NOP,14,6400,12.87585356,4.6,4.181971656,31.22
Gradey Dick,SG/SF,TOR,23,6300,19.43592771,4.7,6.312900095,30.88
Malcolm Brogdon,PG,WAS,0,6300,0,0,0,0
Chris Paul,PG,SAS,27,6300,27.86709418,1.91,8.647776761,30.42
Bennedict Mathurin,SG/SF,IND,27,6200,25.93312389,15.01,7.779178221,34.17
Tobias Harris,PF,DET,34,6200,32.36966622,11.35,9.470516719,33.53
Jose Alvarado,PG,NOP,0,6200,0,0,0,0
Jusuf Nurkic,C,PHX,27,6200,33.42613181,2.67,12.97860493,30.88
Terry Rozier,PG,MIA,33,6100,32.02272963,6.29,9.66066522,30.33
Bilal Coulibaly,SF,WAS,28,6000,21.32821661,2.69,6.784889131,28.48
Jalen Duren,C,DET,28,5900,32.41697215,11.68,10.45215365,31.79
Kelly Olynyk,C,TOR,0,5900,0,0,0,0
OG Anunoby,SF/PF,NYK,34,5900,29.74985483,6.36,9.025007437,29.14
Cameron Johnson,SF/PF,BKN,28,5900,25.6312115,2.22,8.593700542,25.65
Mikal Bridges,SG/SF,NYK,35,5800,30.38300278,11.53,9.744329042,29.59
Nic Claxton,C,BKN,29,5800,32.3994191,2.65,9.992662942,28.5
Jordan Hawkins,PG/SF,NOP,0,5800,0,0,0,0
Tyus Jones,PG,PHX,29,5800,25.55310048,4.02,9.410907635,27.75
Carlton Carrington,PG/SG,WAS,27,5700,21.95745138,6.75,7.194886447,29.45
Bogdan Bogdanovic,SG,ATL,0,5700,0,0,0,0
Isaiah Hartenstein,C,OKC,0,5700,0,0,0,0
Caleb Martin,PF,PHI,28,5600,21.96520155,0.97,7.976075069,21.26
Ochai Agbaji,SG/SF,TOR,23,5600,15.88710354,1.99,5.522049699,24.8
Max Strus,PF,CLE,0,5600,0,0,0,0
Devin Vassell,SG,SAS,32,5600,31.79085551,1.1,10.87885382,24.81
Amen Thompson,SG/SF,HOU,23,5600,23.97542733,3.06,8.944536355,25.92
Trey Murphy III,SF/PF,NOP,31,5600,28.47335144,14.45,10.90117041,29.28
Royce O'Neale,SF/PF,PHX,25,5600,21.90058603,2.1,8.805297347,24.3
Jared McCain,PG/SG,PHI,20,5500,18.84154785,1.78,6.921384926,24.01
Keldon Johnson,SF/PF,SAS,29,5500,26.64587973,1.55,10.49686171,21.78
Zaccharie Risacher,SG/SF,ATL,26,5400,22.34522431,1,9.323829886,20.97
Alexandre Sarr,PF/C,WAS,25,5400,23.87606362,2.94,8.629670434,24.79
Goga Bitadze,C,ORL,16,5300,18.02505433,2.67,6.55583597,25.79
D'Angelo Russell,PG,LAL,32,5300,29.9991688,1.56,11.67032104,25.14
Christian Braun,SG/SF,DEN,22,5300,17.30058528,4.81,5.957052725,25.47
Herbert Jones,PF/C,NOP,0,5300,0,0,0,0
Wendell Carter Jr.,C,ORL,0,5200,0,0,0,0
Malik Beasley,SG,DET,29,5200,23.36021727,1.24,9.332445605,24.08
De'Andre Hunter,SF/PF,ATL,29,5200,25.90825177,1.88,10.79603431,23.23
Saddiq Bey,SF,WAS,0,5200,0,0,0,0
Corey Kispert,SG/SF,WAS,26,5200,18.80082007,5.43,6.806807424,25.19
Ayo Dosunmu,PG/SG,CHI,29,5200,24.74026332,1.69,9.841891519,23.73
Russell Westbrook,PG,DEN,22,5200,23.91304858,1.87,8.522008097,26.04
Guerschon Yabusele,PF/C,PHI,21,5100,18.93277292,0.53,8.749235973,15.84
Davion Mitchell,PG/SG,TOR,18,5100,13.7502053,14.84,4.85386088,28.64
Clint Capela,C,ATL,25,5100,29.91555182,4.21,11.69622068,26.37
Kyshawn George,SF/PF,WAS,26,5100,20.23069487,1.77,7.363553247,21.21
Rui Hachimura,SF/PF,LAL,28,5100,21.54526138,3.22,7.684416359,23.86
